# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 53.479, -2.245 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "53.4794892", "lon": "-2.2451148", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-07 02:00,2019-01-07 02:00,0,0,0,5.675
2019-01-07 03:00,2019-01-07 03:00,0,0,0,5.862
2019-01-07 04:00,2019-01-07 04:00,0,0,0,5.988
2019-01-07 05:00,2019-01-07 05:00,0,0,0,6.051
2019-01-07 06:00,2019-01-07 06:00,0,0,0,6.082
2019-01-07 07:00,2019-01-07 07:00,0,0,0,6.378
2019-01-07 08:00,2019-01-07 08:00,0,0,0.002,7.046
2019-01-07 09:00,2019-01-07 09:00,0.006,0.001,0.015,7.580
2019-01-07 10:00,2019-01-07 10:00,0.039,0.006,0.049,8.151
2019-01-07 11:00,2019-01-07 11:00,0.082,0.019,0.084,8.761
2019-01-07 12:00,2019-01-07 12:00,0.046,0.006,0.058,8.826
2019-01-07 13:00,2019-01-07 13:00,0.008,0.001,0.017,8.586
2019-01-07 14:00,2019-01-07 14:00,0.002,0,0.009,8.454
2019-01-07 15:00,2019-01-07 15:00,0,0,0.003,8.429
2019-01-07 16:00,2019-01-07 16:00,0,0,0,8.273
2019-01-07 17:00,2019-01-07 17:00,0,0,0,7.535
2019-01-07 18:00,2019-01-07 18:00,0,0,0,6.644
2019-01-07 19:00,2019-01-07 19:00,0,0,0,6.213
2019-01-07 20:00,2019-01-07 20:00,0,0,0,6.004
2019-01-07 21:00,2019-01-07 21:00,0,0,0,5.784
2019-01-07 22:00,2019-01-07 22:00,0,0,0,5.607
2019-01-07 23:00,2019-01-07 23:00,0,0,0,5.619
2019-01-08 00:00,2019-01-08 00:00,0,0,0,5.611
2019-01-08 01:00,2019-01-08 01:00,0,0,0,5.705
2019-01-08 02:00,2019-01-08 02:00,0,0,0,5.828
2019-01-08 03:00,2019-01-08 03:00,0,0,0,5.828
2019-01-08 04:00,2019-01-08 04:00,0,0,0,5.752
2019-01-08 05:00,2019-01-08 05:00,0,0,0,5.576
2019-01-08 06:00,2019-01-08 06:00,0,0,0,5.227
2019-01-08 07:00,2019-01-08 07:00,0,0,0,4.736
2019-01-08 08:00,2019-01-08 08:00,0.001,0.003,0.005,4.464
2019-01-08 09:00,2019-01-08 09:00,0.153,0.129,0.046,4.544
2019-01-08 10:00,2019-01-08 10:00,0.331,0.304,0.061,5.164
2019-01-08 11:00,2019-01-08 11:00,0.431,0.416,0.064,5.877
2019-01-08 12:00,2019-01-08 12:00,0.435,0.421,0.065,6.271
2019-01-08 13:00,2019-01-08 13:00,0.372,0.351,0.061,6.248
2019-01-08 14:00,2019-01-08 14:00,0.230,0.206,0.050,5.718
2019-01-08 15:00,2019-01-08 15:00,0.048,0.045,0.019,4.359
2019-01-08 16:00,2019-01-08 16:00,0,0,0,2.832
2019-01-08 17:00,2019-01-08 17:00,0,0,0,2.541
2019-01-08 18:00,2019-01-08 18:00,0,0,0,2.352
2019-01-08 19:00,2019-01-08 19:00,0,0,0,2.227
2019-01-08 20:00,2019-01-08 20:00,0,0,0,2.265
2019-01-08 21:00,2019-01-08 21:00,0,0,0,1.793
2019-01-08 22:00,2019-01-08 22:00,0,0,0,1.685
2019-01-08 23:00,2019-01-08 23:00,0,0,0,1.646
2019-01-09 00:00,2019-01-09 00:00,0,0,0,1.378
2019-01-09 01:00,2019-01-09 01:00,0,0,0,0.806
2019-01-09 02:00,2019-01-09 02:00,0,0,0,0.200
2019-01-09 03:00,2019-01-09 03:00,0,0,0,-0.394
2019-01-09 04:00,2019-01-09 04:00,0,0,0,-0.678
2019-01-09 05:00,2019-01-09 05:00,0,0,0,-0.836
2019-01-09 06:00,2019-01-09 06:00,0,0,0,-1.047
2019-01-09 07:00,2019-01-09 07:00,0,0,0,-1.236
2019-01-09 08:00,2019-01-09 08:00,0.008,0.011,0.007,-1.242
2019-01-09 09:00,2019-01-09 09:00,0.111,0.082,0.046,-0.130
2019-01-09 10:00,2019-01-09 10:00,0.300,0.255,0.069,1.216
2019-01-09 11:00,2019-01-09 11:00,0.378,0.334,0.077,2.255
2019-01-09 12:00,2019-01-09 12:00,0.297,0.236,0.089,2.966
2019-01-09 13:00,2019-01-09 13:00,0.252,0.196,0.080,3.093
2019-01-09 14:00,2019-01-09 14:00,0.193,0.158,0.056,2.640
2019-01-09 15:00,2019-01-09 15:00,0.048,0.043,0.020,0.744
2019-01-09 16:00,2019-01-09 16:00,0,0,0,-0.615
2019-01-09 17:00,2019-01-09 17:00,0,0,0,-1.003
2019-01-09 18:00,2019-01-09 18:00,0,0,0,-1.307
2019-01-09 19:00,2019-01-09 19:00,0,0,0,-1.256
2019-01-09 20:00,2019-01-09 20:00,0,0,0,-0.648
2019-01-09 21:00,2019-01-09 21:00,0,0,0,-0.506
2019-01-09 22:00,2019-01-09 22:00,0,0,0,-0.803
2019-01-09 23:00,2019-01-09 23:00,0,0,0,-1.045
2019-01-10 00:00,2019-01-10 00:00,0,0,0,-0.844
2019-01-10 01:00,2019-01-10 01:00,0,0,0,-0.435
2019-01-10 02:00,2019-01-10 02:00,0,0,0,-0.414
2019-01-10 03:00,2019-01-10 03:00,0,0,0,-0.444
2019-01-10 04:00,2019-01-10 04:00,0,0,0,-0.133
2019-01-10 05:00,2019-01-10 05:00,0,0,0,0.406
2019-01-10 06:00,2019-01-10 06:00,0,0,0,1.081
2019-01-10 07:00,2019-01-10 07:00,0,0,0,1.699
2019-01-10 08:00,2019-01-10 08:00,0,0,0.001,2.303
2019-01-10 09:00,2019-01-10 09:00,0.003,0.001,0.010,3.007
2019-01-10 10:00,2019-01-10 10:00,0.016,0.001,0.026,3.654
2019-01-10 11:00,2019-01-10 11:00,0.028,0.002,0.040,4.234
2019-01-10 12:00,2019-01-10 12:00,0.039,0.004,0.051,4.819
2019-01-10 13:00,2019-01-10 13:00,0.038,0.004,0.049,5.231
2019-01-10 14:00,2019-01-10 14:00,0.020,0.003,0.030,5.333
2019-01-10 15:00,2019-01-10 15:00,0.002,0.001,0.008,5.216
2019-01-10 16:00,2019-01-10 16:00,0,0,0,5.178
2019-01-10 17:00,2019-01-10 17:00,0,0,0,5.038
2019-01-10 18:00,2019-01-10 18:00,0,0,0,4.370
2019-01-10 19:00,2019-01-10 19:00,0,0,0,3.538
2019-01-10 20:00,2019-01-10 20:00,0,0,0,2.973
2019-01-10 21:00,2019-01-10 21:00,0,0,0,3.265
2019-01-10 22:00,2019-01-10 22:00,0,0,0,3.348
2019-01-10 23:00,2019-01-10 23:00,0,0,0,3.238
2019-01-11 00:00,2019-01-11 00:00,0,0,0,2.983
2019-01-11 01:00,2019-01-11 01:00,0,0,0,2.822
2019-01-11 02:00,2019-01-11 02:00,0,0,0,2.807
2019-01-11 03:00,2019-01-11 03:00,0,0,0,2.824
2019-01-11 04:00,2019-01-11 04:00,0,0,0,2.895
2019-01-11 05:00,2019-01-11 05:00,0,0,0,2.949
2019-01-11 06:00,2019-01-11 06:00,0,0,0,3.043
2019-01-11 07:00,2019-01-11 07:00,0,0,0,3.168
2019-01-11 08:00,2019-01-11 08:00,0,0.001,0.003,3.324
2019-01-11 09:00,2019-01-11 09:00,0.010,0.002,0.019,3.798
2019-01-11 10:00,2019-01-11 10:00,0.028,0.003,0.039,4.387
2019-01-11 11:00,2019-01-11 11:00,0.039,0.004,0.050,4.949
2019-01-11 12:00,2019-01-11 12:00,0.050,0.006,0.060,5.411
2019-01-11 13:00,2019-01-11 13:00,0.052,0.009,0.061,5.764
2019-01-11 14:00,2019-01-11 14:00,0.035,0.008,0.043,5.799
2019-01-11 15:00,2019-01-11 15:00,0.008,0.004,0.014,5.300
2019-01-11 16:00,2019-01-11 16:00,0,0,0,4.769
2019-01-11 17:00,2019-01-11 17:00,0,0,0,4.566
2019-01-11 18:00,2019-01-11 18:00,0,0,0,4.282
2019-01-11 19:00,2019-01-11 19:00,0,0,0,4.552
2019-01-11 20:00,2019-01-11 20:00,0,0,0,4.783
2019-01-11 21:00,2019-01-11 21:00,0,0,0,5.065
2019-01-11 22:00,2019-01-11 22:00,0,0,0,5.187
2019-01-11 23:00,2019-01-11 23:00,0,0,0,5.506
2019-01-12 00:00,2019-01-12 00:00,0,0,0,5.825
2019-01-12 01:00,2019-01-12 01:00,0,0,0,6.188
2019-01-12 02:00,2019-01-12 02:00,0,0,0,6.456
2019-01-12 03:00,2019-01-12 03:00,0,0,0,6.842
2019-01-12 04:00,2019-01-12 04:00,0,0,0,7.229
2019-01-12 05:00,2019-01-12 05:00,0,0,0,7.419
2019-01-12 06:00,2019-01-12 06:00,0,0,0,7.247
2019-01-12 07:00,2019-01-12 07:00,0,0,0,6.825
2019-01-12 08:00,2019-01-12 08:00,0,0,0.002,6.591
2019-01-12 09:00,2019-01-12 09:00,0.008,0.001,0.017,6.586
2019-01-12 10:00,2019-01-12 10:00,0.046,0.008,0.056,6.771
2019-01-12 11:00,2019-01-12 11:00,0.064,0.010,0.072,6.918
2019-01-12 12:00,2019-01-12 12:00,0.052,0.007,0.063,6.898
2019-01-12 13:00,2019-01-12 13:00,0.039,0.005,0.051,6.832
2019-01-12 14:00,2019-01-12 14:00,0.014,0.002,0.025,6.764
2019-01-12 15:00,2019-01-12 15:00,0,0,0.004,6.813
2019-01-12 16:00,2019-01-12 16:00,0,0,0,7.118
2019-01-12 17:00,2019-01-12 17:00,0,0,0,7.576
2019-01-12 18:00,2019-01-12 18:00,0,0,0,7.877
2019-01-12 19:00,2019-01-12 19:00,0,0,0,7.933
2019-01-12 20:00,2019-01-12 20:00,0,0,0,7.851
2019-01-12 21:00,2019-01-12 21:00,0,0,0,7.847
2019-01-12 22:00,2019-01-12 22:00,0,0,0,7.829
2019-01-12 23:00,2019-01-12 23:00,0,0,0,7.760
2019-01-13 00:00,2019-01-13 00:00,0,0,0,7.677
2019-01-13 01:00,2019-01-13 01:00,0,0,0,7.611
2019-01-13 02:00,2019-01-13 02:00,0,0,0,7.457
2019-01-13 03:00,2019-01-13 03:00,0,0,0,7.294
2019-01-13 04:00,2019-01-13 04:00,0,0,0,7.172
2019-01-13 05:00,2019-01-13 05:00,0,0,0,7.069
2019-01-13 06:00,2019-01-13 06:00,0,0,0,7.045
2019-01-13 07:00,2019-01-13 07:00,0,0,0,7.026
2019-01-13 08:00,2019-01-13 08:00,0,0.001,0.004,6.988
2019-01-13 09:00,2019-01-13 09:00,0.021,0.004,0.030,7.197
2019-01-13 10:00,2019-01-13 10:00,0.034,0.005,0.045,7.638
2019-01-13 11:00,2019-01-13 11:00,0.038,0.004,0.050,8.133
2019-01-13 12:00,2019-01-13 12:00,0.037,0.004,0.050,8.352
2019-01-13 13:00,2019-01-13 13:00,0.038,0.005,0.049,8.153
2019-01-13 14:00,2019-01-13 14:00,0.036,0.008,0.045,7.661
2019-01-13 15:00,2019-01-13 15:00,0.007,0.003,0.014,7.156
2019-01-13 16:00,2019-01-13 16:00,0,0,0,6.696
2019-01-13 17:00,2019-01-13 17:00,0,0,0,6.148
2019-01-13 18:00,2019-01-13 18:00,0,0,0,5.758
2019-01-13 19:00,2019-01-13 19:00,0,0,0,5.613
2019-01-13 20:00,2019-01-13 20:00,0,0,0,5.626
2019-01-13 21:00,2019-01-13 21:00,0,0,0,5.690
2019-01-13 22:00,2019-01-13 22:00,0,0,0,5.694
2019-01-13 23:00,2019-01-13 23:00,0,0,0,5.746
2019-01-14 00:00,2019-01-14 00:00,0,0,0,5.814
2019-01-14 01:00,2019-01-14 01:00,0,0,0,5.864
2019-01-14 02:00,2019-01-14 02:00,0,0,0,5.861
2019-01-14 03:00,2019-01-14 03:00,0,0,0,5.773
2019-01-14 04:00,2019-01-14 04:00,0,0,0,5.680
2019-01-14 05:00,2019-01-14 05:00,0,0,0,5.567
2019-01-14 06:00,2019-01-14 06:00,0,0,0,5.364
2019-01-14 07:00,2019-01-14 07:00,0,0,0,5.155
2019-01-14 08:00,2019-01-14 08:00,0.002,0.002,0.007,5.023
2019-01-14 09:00,2019-01-14 09:00,0.039,0.014,0.041,5.426
2019-01-14 10:00,2019-01-14 10:00,0.090,0.033,0.076,5.965
2019-01-14 11:00,2019-01-14 11:00,0.162,0.079,0.106,6.391
2019-01-14 12:00,2019-01-14 12:00,0.142,0.060,0.104,6.547
2019-01-14 13:00,2019-01-14 13:00,0.080,0.024,0.076,6.419
2019-01-14 14:00,2019-01-14 14:00,0.072,0.030,0.061,6.111
2019-01-14 15:00,2019-01-14 15:00,0.017,0.009,0.020,5.164
2019-01-14 16:00,2019-01-14 16:00,0,0,0,4.113
2019-01-14 17:00,2019-01-14 17:00,0,0,0,3.959
2019-01-14 18:00,2019-01-14 18:00,0,0,0,3.870
2019-01-14 19:00,2019-01-14 19:00,0,0,0,3.970
2019-01-14 20:00,2019-01-14 20:00,0,0,0,4.218
2019-01-14 21:00,2019-01-14 21:00,0,0,0,4.428
2019-01-14 22:00,2019-01-14 22:00,0,0,0,4.602
2019-01-14 23:00,2019-01-14 23:00,0,0,0,4.747
2019-01-15 00:00,2019-01-15 00:00,0,0,0,5.045
2019-01-15 01:00,2019-01-15 01:00,0,0,0,5.440
2019-01-15 02:00,2019-01-15 02:00,0,0,0,5.716
2019-01-15 03:00,2019-01-15 03:00,0,0,0,5.867
2019-01-15 04:00,2019-01-15 04:00,0,0,0,5.968
2019-01-15 05:00,2019-01-15 05:00,0,0,0,5.994
2019-01-15 06:00,2019-01-15 06:00,0,0,0,5.869
2019-01-15 07:00,2019-01-15 07:00,0,0,0,5.578
